koi_disposition,int_koi_disposition,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ec,koi_model_snr,koi_depth,koi_tce_plnt_num,koi_impact_err1,koi_period,koi_teq,koi_steff_err1,ra,koi_slogg_err1,koi_duration_err1,koi_duration
CONFIRMED,1,0,0,0,0,21.7,1122.3,3,0.43700000000000006,36.4454001,332,82,286.73804,0.022000000000000002,0.126,4.007
CONFIRMED,1,0,0,0,0,345.2,5226.5,1,0.13,3.7287321469999997,1023,166,290.78574,0.034,0.035,2.6830000000000003
CANDIDATE,2,0,0,0,0,36.9,6256.0,1,5.567,40.4195037,467,179,294.31686,0.11599999999999999,0.14,3.362
CONFIRMED,1,0,0,0,0,38.9,821.7,1,0.009000000000000001,2.243380573,822,82,285.17621,0.024,0.0384,1.1196
CONFIRMED,1,0,0,0,0,82.4,971.2,1,0.18899999999999997,2.337437946,1070,79,293.83331,0.012,0.0271,1.9982
CANDIDATE,2,0,0,0,0,13.7,556.4,2,49.85,7.240661200000001,734,79,293.83331,0.012,0.171,0.5579999999999999
CANDIDATE,2,0,0,0,0,8.7,23.2,3,0.037000000000000005,3.43591631,1272,104,287.88732999999996,0.132,0.40700000000000003,3.133
CONFIRMED,1,0,0,0,0,71.0,2804.5,1,0.187,11.59822233,396,73,296.22195,0.05,0.052000000000000005,2.5237
CONFIRMED,1,0,0,0,0,312.1,3001.0,1,0.052000000000000005,7.275040843999999,833,164,295.45529,0.027999999999999997,0.0681,7.5377
CONFIRMED,1,0,0,0,0,37.1,1219.8,1,0.36,19.27153892,393,81,293.97336,0.027000000000000003,0.0551,2.7594
CONFIRMED,1,0,0,0,0,30.3,1053.3,2,0.003,10.06524317,488,81,293.97336,0.027000000000000003,0.0393,1.369
CONFIRMED,1,0,0,0,0,35.8,916.6,1,0.033,12.3935651,677,166,296.02133,0.034,0.0834,3.8896
CONFIRMED,1,0,0,0,0,83.7,615.2,2,0.039,43.84439721,531,105,300.86397999999997,0.09,0.11900000000000001,6.8020000000000005
FALSE POSITIVE,0,1,1,0,0,39.0,725.3,1,11.28,3.341913228,1032,175,292.31595,0.049,0.12,3.813
CANDIDATE,2,0,0,0,0,103.6,1620.6,1,4.827,1.626630225,1547,155,294.36818999999997,0.124,0.0285,2.1145
CONFIRMED,1,0,0,0,0,20.1,931.3,2,0.359,60.41893689999999,390,159,296.36652000000004,0.032,0.184,5.039
CONFIRMED,1,0,0,0,0,277.2,6105.6,1,0.065,12.61190435,753,156,289.11221,0.039,0.0592,5.1497
FALSE POSITIVE,0,1,0,0,0,112.6,1976.3,1,5.652,1.433769925,1920,72,290.84369,0.156,0.0232,1.8868
CONFIRMED,1,0,0,0,0,38.9,382.1,1,0.198,2.5391831469999997,1332,82,291.43997,0.126,0.0559,2.4282
CONFIRMED,1,0,0,0,0,50.8,1304.0,1,0.083,6.770300385,812,166,290.87051,0.027999999999999997,0.0454,2.0844
FALSE POSITIVE,0,1,1,0,1,299.7,10967.0,1,0.33399999999999996,0.44429196600000004,1836,156,290.99689,0.027999999999999997,0.0115,2.0792
CANDIDATE,2,0,0,0,0,183.6,5741.1,1,0.006999999999999999,10.181583999999999,812,179,291.28195,0.048,0.0331,3.5089
CONFIRMED,1,0,0,0,0,35.2,1494.7,2,0.32299999999999995,20.06036336,361,70,286.07912999999996,0.042,0.0754,3.3203
CONFIRMED,1,0,0,0,0,26.0,1394.7,3,0.415,46.1842039,273,70,286.07912999999996,0.042,0.13,4.758
CONFIRMED,1,0,0,0,0,17.1,104.0,4,0.004,23.9800854,649,105,300.86397999999997,0.09,0.177,5.351
CONFIRMED,1,0,0,0,0,370.8,8544.8,1,0.069,3.895936525,1005,167,294.65524,0.034,0.0302,2.3111
CONFIRMED,1,0,0,0,0,32.1,986.8,1,0.066,22.36646466,536,160,294.71063,0.032,0.122,5.228
CONFIRMED,1,0,0,0,0,799.7,7969.0,1,0.022000000000000002,1.625522174,1579,83,293.87192000000005,0.13699999999999998,0.0033799999999999998,2.38963
FALSE POSITIVE,0,0,1,1,0,14.2,322.6,2,33.63,7.544039,838,152,293.94116,0.038,0.731,6.222
CANDIDATE,2,0,0,0,0,53.9,1019.8,1,0.401,9.02930689,757,167,290.33362,0.063,0.0528,3.1449
FALSE POSITIVE,0,1,0,0,0,636.8,16918.0,1,0.04,10.32803571,843,169,287.69675,0.18,0.0272,7.7915
CONFIRMED,1,0,0,0,0,14.4,55.8,3,0.32299999999999995,6.1648760000000005,1021,105,300.86397999999997,0.09,0.18600000000000003,3.262
CONFIRMED,1,0,0,0,0,347.2,20280.0,1,0.067,60.32494216,411,98,285.28362999999996,0.013999999999999999,0.0327,6.6188
FALSE POSITIVE,0,0,1,0,1,38.8,816.1,1,6.813,1.540397253,1470,171,286.92638999999997,0.036000000000000004,0.0846,2.1541
FALSE POSITIVE,0,0,1,0,1,48.5,589.2,1,0.33399999999999996,2.99025443,918,140,287.74881,0.048,0.113,5.414
CONFIRMED,1,0,0,0,0,1009.3,15044.0,1,0.022000000000000002,1.5947453740000002,1539,160,285.21381,0.065,0.0106,1.9604
CANDIDATE,2,0,0,0,0,70.6,1008.7,1,0.425,4.783002698,886,155,287.09398999999996,0.026000000000000002,0.0332,2.335
CONFIRMED,1,0,0,0,0,71.6,1632.6,1,0.002,3.340218842,656,70,286.07912999999996,0.042,0.0318,1.9104
FALSE POSITIVE,0,1,1,0,0,64.9,1339.2,1,16.5,2.507089906,1326,184,295.37805,0.054000000000000006,0.0427,2.0067
CONFIRMED,1,0,0,0,0,46.1,893.6,1,0.32899999999999996,18.64932728,701,78,290.46176,0.066,0.0687,4.4056
CONFIRMED,1,0,0,0,0,28.5,418.0,3,0.027999999999999997,9.75192101,870,78,290.46176,0.066,0.18100000000000002,4.793
CONFIRMED,1,0,0,0,0,39.7,993.0,2,0.025,38.557654600000006,550,78,290.46176,0.066,0.19899999999999998,5.794
CONFIRMED,1,0,0,0,0,1996.7,22335.0,1,0.006,3.5256325389999996,975,82,290.58173,0.02,0.00079,2.59959
CONFIRMED,1,0,0,0,0,113.2,2472.1,1,0.237,7.748094238999999,964,169,294.4899,0.052000000000000005,0.043,3.5957
CONFIRMED,1,0,0,0,0,56.4,1558.0,1,0.0,8.11437482,460,73,288.81201,0.032,0.0447,2.2736
FALSE POSITIVE,0,1,0,0,0,1300.0,82872.0,1,0.003,38.03672948,500,166,294.14789,0.038,0.00645,4.34617
FALSE POSITIVE,0,1,0,0,0,296.9,2450.6,1,0.098,4.64090031,1155,205,295.11371,0.087,0.27399999999999997,35.512
CONFIRMED,1,0,0,0,0,107.4,430.2,1,0.262,14.74914825,874,64,297.02826,0.02,0.044000000000000004,6.0995
CONFIRMED,1,0,0,0,0,37.8,1175.4,1,0.39399999999999996,21.81295996,639,166,294.77686,0.11599999999999999,0.091,4.3791
CONFIRMED,1,0,0,0,0,166.0,15337.0,1,0.033,15.37562369,600,79,283.25354,0.075,0.0645,3.3169
CONFIRMED,1,0,0,0,0,39.3,887.9,1,0.409,8.10363271,687,131,283.22141,0.054000000000000006,0.0635,3.161
CONFIRMED,1,0,0,0,0,21.3,417.5,2,0.195,4.71510843,823,131,283.22141,0.054000000000000006,0.10300000000000001,2.506
